CCTV-1高清,rtp://239.253.252.77:8000
CCTV-2高清,rtp://239.253.252.232:8000
CCTV-3,rtp://239.253.252.4:8000
CCTV-4中文高清,rtp://239.253.252.111:8000
CCTV-4欧洲高清,rtp://239.253.252.186:8000
CCTV-4美洲高清,rtp://239.253.252.187:8000
CCTV-5,rtp://239.253.252.6:8000
CCTV-5＋高清,rtp://239.253.252.80:8000
CCTV-6,rtp://239.253.252.7:8000
CCTV-7高清,rtp://239.253.252.233:8000
CCTV-8,rtp://239.253.252.9:8000
CCTV-9高清,rtp://239.253.252.79:8000
CCTV-10高清,rtp://239.253.252.234:8000
CCTV-11高清,rtp://239.253.252.169:8000
CCTV-12高清,rtp://239.253.252.235:8000
CCTV-13高清,rtp://239.253.252.175:8000
CCTV-14高清,rtp://239.253.252.236:8000
CCTV-15高清,rtp://239.253.252.170:8000
CCTV-17高清,rtp://239.253.252.168:8000
CCTV-4K超高清,rtp://239.253.252.181:8000
CGTN高清,rtp://239.253.252.189:8000
CGTN英文纪录片,rtp://239.253.252.188:8000
CGTN西班牙语,rtp://239.253.252.182:8000
CGTN法语,rtp://239.253.252.183:8000
CGTN阿拉伯语,rtp://239.253.252.184:8000
CGTN俄语,rtp://239.253.252.185:8000
山东卫视高清,rtp://239.253.252.78:8000
齐鲁高清,rtp://239.253.252.114:8000
山东影视高清,rtp://239.253.252.160:8000
山东生活高清,rtp://239.253.252.151:8000
山东综艺高清,rtp://239.253.252.159:8000
山东体育高清,rtp://239.253.252.22:8000
山东新闻高清,rtp://239.253.252.23:8000
山东农科高清,rtp://239.253.252.24:8000
山东少儿高清,rtp://239.253.252.25:8000
山东国际,rtp://239.253.252.26:8000
山东教育高清,rtp://239.253.252.59:8000
淄博新闻,rtp://239.253.252.253:8000
淄博都市,rtp://239.253.252.254:8000
淄博生活,rtp://239.253.252.252:8000
淄博科教,rtp://239.253.252.251:8000
淄博公共,rtp://239.253.252.241:8000
沂源新闻,rtp://239.253.252.246:8000
淄川新闻,rtp://239.253.252.250:8000
博山新闻,rtp://239.253.252.245:8000
张店综合,rtp://239.253.252.242:8000
临淄新闻,rtp://239.253.252.249:8000
高青综合,rtp://239.253.252.248:8000
周村新闻,rtp://239.253.252.244:8000
桓台新闻,rtp://239.253.252.243:8000
湖南卫视高清,rtp://239.253.252.82:8000
浙江卫视高清,rtp://239.253.252.84:8000
东方卫视高清,rtp://239.253.252.86:8000
江苏卫视高清,rtp://239.253.252.83:8000
北京卫视高清,rtp://239.253.252.85:8000
安徽卫视高清,rtp://239.253.252.87:8000
天津卫视高清,rtp://239.253.252.89:8000
辽宁卫视高清,rtp://239.253.252.92:8000
深圳卫视高清,rtp://239.253.252.91:8000
东南卫视高清,rtp://239.253.252.105:8000
湖北卫视高清,rtp://239.253.252.88:8000
广东卫视高清,rtp://239.253.252.90:8000
黑龙江卫视高清,rtp://239.253.252.93:8000
贵州卫视高清,rtp://239.253.252.113:8000
河北卫视高清,rtp://239.253.252.112:8000
重庆卫视高清,rtp://239.253.252.38:8000
甘肃卫视高清,rtp://239.253.252.176:8000
海南卫视高清,rtp://239.253.252.179:8000
四川卫视高清,rtp://239.253.252.180:8000
海南卫视,rtp://239.253.252.35:8000
四川卫视,rtp://239.253.252.50:8000
云南卫视,rtp://239.253.252.42:8000
河南卫视,rtp://239.253.252.44:8000
江西卫视,rtp://239.253.252.47:8000
广西卫视,rtp://239.253.252.40:8000
吉林卫视,rtp://239.253.252.46:8000
山西卫视,rtp://239.253.252.48:8000
陕西卫视,rtp://239.253.252.49:8000
内蒙古卫视,rtp://239.253.252.58:8000
宁夏卫视,rtp://239.253.252.53:8000
新疆卫视,rtp://239.253.252.60:8000
甘肃卫视,rtp://239.253.252.52:8000
青海卫视,rtp://239.253.252.54:8000
西藏卫视,rtp://239.253.252.56:8000
兵团卫视,rtp://239.253.252.57:8000
农林卫视,rtp://239.253.252.70:8000
厦门卫视,rtp://239.253.252.106:8000
三沙卫视,rtp://239.253.252.171:8000
CETV1高清,rtp://239.253.252.110:8000
CETV2,rtp://239.253.252.107:8000
CETV4,rtp://239.253.252.108:8000
中国交通,rtp://239.253.252.177:8000
体育赛事,rtp://239.253.252.172:8000
金鹰纪实高清,rtp://239.253.252.103:8000
人文纪实,rtp://239.253.252.81:8000
熊猫频道,rtp://239.253.252.237:8000
IPTV5＋高清,rtp://239.253.252.109:8000
爱上4K,rtp://239.253.252.102:8000
IPTV谍战剧场,rtp://239.253.252.135:8000
CHC家庭影院高清,rtp://239.253.252.152:8000
CHC动作电影高清,rtp://239.253.252.153:8000
CHC高清电影,rtp://239.253.252.154:8000
金鹰卡通,rtp://239.253.252.62:8000
卡酷动画,rtp://239.253.252.61:8000
优漫卡通,rtp://239.253.252.64:8000
炫动卡通,rtp://239.253.252.63:8000
嘉佳卡通,rtp://239.253.252.65:8000
动漫秀场,rtp://239.253.252.66:8000
新动漫,rtp://239.253.252.157:8000
游戏风云,rtp://239.253.252.71:8000
东方财经-浦东,rtp://239.253.252.72:8000
七彩戏剧,rtp://239.253.252.75:8000
都市剧场,rtp://239.253.252.178:8000
乒羽,rtp://239.253.252.155:8000
网络棋牌,rtp://239.253.252.156:8000
中华美食,rtp://239.253.252.158:8000
城市剧场,rtp://239.253.252.201:8000
音乐现场,rtp://239.253.252.202:8000
军旅剧场,rtp://239.253.252.203:8000
足球,rtp://239.253.252.204:8000
古装剧场,rtp://239.253.252.205:8000
军事,rtp://239.253.252.207:8000
地理,rtp://239.253.252.208:8000
高网,rtp://239.253.252.209:8000
精选,rtp://239.253.252.210:8000
台球,rtp://239.253.252.211:8000
武侠剧场,rtp://239.253.252.212:8000
美人,rtp://239.253.252.213:8000
鉴赏,rtp://239.253.252.214:8000
国学,rtp://239.253.252.215:8000
星影,rtp://239.253.252.216:8000
早教,rtp://239.253.252.217:8000
家庭影院,rtp://239.253.252.218:8000
好学生,rtp://239.253.252.219:8000
喜剧影院,rtp://239.253.252.220:8000
动作影院,rtp://239.253.252.221:8000
墨宝,rtp://239.253.252.222:8000
光影,rtp://239.253.252.223:8000
戏曲,rtp://239.253.252.224:8000
爱生活,rtp://239.253.252.225:8000
解密,rtp://239.253.252.226:8000
武术,rtp://239.253.252.227:8000
美妆,rtp://239.253.252.228:8000
动画,rtp://239.253.252.229:8000
财富天下,rtp://239.253.252.230:8000
IPTV收视指南,rtp://239.253.252.124:8000
热播剧场,rtp://239.253.252.125:8000
经典电影,rtp://239.253.252.126:8000
少儿动画,rtp://239.253.252.127:8000
IPTV相声小品,rtp://239.253.252.136:8000
魅力时尚,rtp://239.253.252.130:8000
IPTV野外,rtp://239.253.252.137:8000
IPTV法治,rtp://239.253.252.138:8000
IPTV3＋,rtp://239.253.252.129:8000
IPTV5＋,rtp://239.253.252.131:8000
IPTV6＋,rtp://239.253.252.128:8000
IPTV8＋,rtp://239.253.252.132:8000
家有购物,rtp://239.253.252.150:8000
海看热播,rtp://239.253.252.94:8000
海看电竞世界,rtp://239.253.252.115:8000
海看4K测试,rtp://239.253.252.101:8000
海看教育,rtp://239.253.252.95:8000
海看健康,rtp://239.253.252.100:8000
海看爱宠,rtp://239.253.252.96:8000
海看少儿,rtp://239.253.252.99:8000
海看剧场,rtp://239.253.252.98:8000
海看大片高清,rtp://239.253.252.97:8000
CCTV-1,rtp://239.253.252.1:8000
CCTV-2,rtp://239.253.252.3:8000
CCTV-4,rtp://239.253.252.5:8000
CCTV-7,rtp://239.253.252.8:8000
CCTV-9,rtp://239.253.252.10:8000
CCTV-10,rtp://239.253.252.11:8000
CCTV-11,rtp://239.253.252.12:8000
CCTV-12,rtp://239.253.252.13:8000
CCTV-13,rtp://239.253.252.14:8000
CCTV-14,rtp://239.253.252.15:8000
CCTV-15,rtp://239.253.252.16:8000
贵州卫视,rtp://239.253.252.51:8000
河北卫视,rtp://239.253.252.43:8000
湖南卫视,rtp://239.253.252.27:8000
江苏卫视,rtp://239.253.252.28:8000
东南卫视,rtp://239.253.252.41:8000
湖北卫视,rtp://239.253.252.45:8000
山东卫视,rtp://239.253.252.2:8000
齐鲁电视台,rtp://239.253.252.18:8000
山东影视,rtp://239.253.252.19:8000
山东生活,rtp://239.253.252.20:8000
山东综艺,rtp://239.253.252.21:8000
天津卫视,rtp://239.253.252.34:8000
辽宁卫视,rtp://239.253.252.36:8000
广东卫视,rtp://239.253.252.39:8000
黑龙江卫视,rtp://239.253.252.37:8000
浙江卫视,rtp://239.253.252.29:8000
安徽卫视,rtp://239.253.252.30:8000
北京卫视,rtp://239.253.252.31:8000
东方卫视,rtp://239.253.252.32:8000
深圳卫视,rtp://239.253.252.33:8000
中国教育-1,rtp://239.253.252.55:8000
居家购物,rtp://239.253.252.104:8000
IPTV九画面,rtp://239.253.252.167:8000
